Date,Symbol,Open,High,Low,Close,Volume
4/1/2010,BHARTIART,323.75,326,319.2,319.2,2952340
5/1/2010,BHARTIART,328.25,332,325.5,324.25,4302024
6/1/2010,BHARTIART,326.8,328.95,320.1,320.85,4409919
7/1/2010,BHARTIART,322.3,327.85,321.95,323.35,3868937
8/1/2010,BHARTIART,329.75,331.45,324.65,325.05,2655707
11/1/2010,BHARTIART,331,331,325.5,328.95,3143217
12/1/2010,BHARTIART,330.1,333.9,320.4,322.25,6507716
13-01-2010,BHARTIART,321.5,321.95,315.25,318.4,4299714
14-01-2010,BHARTIART,319.2,322.6,317.2,318.05,3920034
15-01-2010,BHARTIART,318,322.5,316,317.4,4407407
18-01-2010,BHARTIART,317,322.7,316.15,320.7,3918998
19-01-2010,BHARTIART,321,325.8,318.1,320.55,3884885
20-01-2010,BHARTIART,321.55,332.3,321.55,331.5,9116756
21-01-2010,BHARTIART,330,333,321.2,322.4,3955328
22-01-2010,BHARTIART,318.7,330,315,322.15,8696121
25-01-2010,BHARTIART,322.15,331.75,318.4,330.9,5398902
27-01-2010,BHARTIART,329.5,331.8,320,322.9,5044367
28-01-2010,BHARTIART,324,327.85,311,313.65,7620843
29-01-2010,BHARTIART,311,313.9,304.15,306.4,6845712
1/2/2010,BHARTIART,305,313.7,305,311.2,3865282
2/2/2010,BHARTIART,314.5,315.7,306.1,307.65,4593595
3/2/2010,BHARTIART,310,312.75,306.5,309,3649370
4/2/2010,BHARTIART,307,309,300.5,304.1,2578956
5/2/2010,BHARTIART,302,304.45,294.4,300.05,3915719
6/2/2010,BHARTIART,301.5,303,299.5,300.4,388272
8/2/2010,BHARTIART,302.1,310.5,299.4,308.35,4808575
9/2/2010,BHARTIART,310,316.5,307,313.15,6126301
10/2/2010,BHARTIART,315,318.4,308.2,315.3,5417799
11/2/2010,BHARTIART,315.5,317.9,310.75,314.5,3372725
15-02-2010,BHARTIART,317,317,284.4,285.6,18972593
16-02-2010,BHARTIART,286,289.5,269.35,271.6,45045191
17-02-2010,BHARTIART,273.4,281.75,273.4,279.15,16132351
18-02-2010,BHARTIART,279,284.4,276,281.9,7016482
19-02-2010,BHARTIART,280.55,283.9,274.3,278.8,8798725
22-02-2010,BHARTIART,281,283,276,276.9,5662935
23-02-2010,BHARTIART,275,281.2,275,280.1,3739371
24-02-2010,BHARTIART,280,280,275,275.95,5201687
25-02-2010,BHARTIART,277,280,275.5,276.25,6428278
26-02-2010,BHARTIART,278,282,275.8,279.35,6424420
2/3/2010,BHARTIART,280,292.8,280,290.2,6263842
3/3/2010,BHARTIART,293,294.9,290.3,291.95,5097870
4/3/2010,BHARTIART,290,294.9,290,293.6,3301735
5/3/2010,BHARTIART,294,303.75,293,298.45,8167892
8/3/2010,BHARTIART,298.15,302.8,291,292.7,6256751
9/3/2010,BHARTIART,292,294.15,287.05,291.3,3785607
10/3/2010,BHARTIART,292,294.5,284,288,5385114
11/3/2010,BHARTIART,288.9,295.55,288.35,293.95,4030086
12/3/2010,BHARTIART,293,300.35,293,299.1,4044755
15-03-2010,BHARTIART,290,301.3,290,299.5,3134357
16-03-2010,BHARTIART,298.5,299,292.55,294.8,2742226
17-03-2010,BHARTIART,296,301.5,295.65,298.05,3330971
18-03-2010,BHARTIART,299.95,303.5,297.1,300.1,4489695
19-03-2010,BHARTIART,300,312.85,300,311.9,7665763
22-03-2010,BHARTIART,307.5,319.8,307,316.35,6679874
23-03-2010,BHARTIART,317.2,321,305.55,307.65,5619158
25-03-2010,BHARTIART,310,316,303,314.4,10257603
26-03-2010,BHARTIART,314.85,315.9,305,310.15,7188335
29-03-2010,BHARTIART,311,314.9,310.2,312.2,2796536
30-03-2010,BHARTIART,311.5,316,309.75,310.85,3334807
31-03-2010,BHARTIART,308.7,319.7,307,312.55,6789112
1/4/2010,BHARTIART,312.6,316.5,300.55,302,12995543
5/4/2010,BHARTIART,307,318.15,302.5,316.05,9680847
6/4/2010,BHARTIART,317.5,318.8,311.8,316.45,3721848
7/4/2010,BHARTIART,317,325.8,313.7,320.4,5200634
8/4/2010,BHARTIART,319,321.5,310,312.9,6198088
9/4/2010,BHARTIART,312,316.5,307,307.9,5843978
12/4/2010,BHARTIART,305.5,311.9,305.5,308.2,5310082
13-04-2010,BHARTIART,307,312,306.15,307,3060521
15-04-2010,BHARTIART,308,310.95,302.85,304.2,4444703
16-04-2010,BHARTIART,303.5,306.65,301.7,304.8,3743783
19-04-2010,BHARTIART,343.7,343.7,298.25,305.9,4336976
20-04-2010,BHARTIART,309,309,302.5,304.5,3389565
21-04-2010,BHARTIART,306,308.2,303.5,305.7,5064582
22-04-2010,BHARTIART,305,305,301.5,303.1,3793399
23-04-2010,BHARTIART,303.4,304.9,297.25,298.2,14354478
26-04-2010,BHARTIART,300.1,303.9,296,297.4,4296258
27-04-2010,BHARTIART,298,301.5,296.4,298.3,3089716
28-04-2010,BHARTIART,297.95,299.6,292,293.8,6046883
29-04-2010,BHARTIART,294,298.5,292.1,296.35,5241863
30-04-2010,BHARTIART,299,302.4,295.45,298.55,7303865
3/5/2010,BHARTIART,298,299.9,295.2,297,2995752
4/5/2010,BHARTIART,299,299,288.15,289,4264961
5/5/2010,BHARTIART,287.2,299.8,283.2,296.3,8898591
6/5/2010,BHARTIART,295.9,297,290.3,291.95,5121078
7/5/2010,BHARTIART,288,289.9,285.2,287.5,3053214
10/5/2010,BHARTIART,292,298,286.75,294.4,3409753
11/5/2010,BHARTIART,294.5,294.5,284.1,284.7,4736780
12/5/2010,BHARTIART,284,284.5,259.85,261.25,26419999
13-05-2010,BHARTIART,261.5,272,254.5,258.4,27475732
14-05-2010,BHARTIART,255.5,267.75,254.55,264.55,13469639
17-05-2010,BHARTIART,260,267.5,258.15,266.65,4990647
18-05-2010,BHARTIART,267,271.8,264.35,267.95,5408042
19-05-2010,BHARTIART,266.5,267,258.1,259.7,4728944
20-05-2010,BHARTIART,260,265.55,258.8,260.25,4574243
21-05-2010,BHARTIART,259,267.2,252,266.2,3386902
24-05-2010,BHARTIART,268.05,271.35,263.3,266.05,4947047
25-05-2010,BHARTIART,265.6,270.4,262.05,264.6,4758420
26-05-2010,BHARTIART,267,269.6,260,263.65,3879936
27-05-2010,BHARTIART,263.1,265,257.6,260.65,7372814
28-05-2010,BHARTIART,264,265.8,258.05,260.7,5219401
31-05-2010,BHARTIART,261,264.45,260,262.9,3521781
1/6/2010,BHARTIART,263.1,264,255,257,4915605
2/6/2010,BHARTIART,257,272.45,254.35,270.35,9731801
3/6/2010,BHARTIART,272.4,277,271.4,273.45,6214302
4/6/2010,BHARTIART,272,278.4,267.5,276.3,4484393
7/6/2010,BHARTIART,266,273.3,266,268.4,4170907
8/6/2010,BHARTIART,269,271.15,257.25,258.35,4699735
9/6/2010,BHARTIART,260.75,274.9,259,272.05,12660154
10/6/2010,BHARTIART,275,286.9,271.1,285.2,11625988
11/6/2010,BHARTIART,292,292,271.75,273.5,10007852
14-06-2010,BHARTIART,276.05,277.8,265.2,269.1,8555192
15-06-2010,BHARTIART,268,272.45,265.05,269.55,6206127
16-06-2010,BHARTIART,273,273,264.5,266.15,5570657
17-06-2010,BHARTIART,266.1,269.5,263.4,267.1,4914233
18-06-2010,BHARTIART,266.25,270,264,264.95,5434996
21-06-2010,BHARTIART,266,268,264.35,264.85,6255146
22-06-2010,BHARTIART,265,267.3,261.5,262,4519793
23-06-2010,BHARTIART,262,265.9,260.15,264.05,3944878
24-06-2010,BHARTIART,263.1,266,262.2,263.25,7468214
25-06-2010,BHARTIART,262.9,265.9,262.1,263.05,5334436
28-06-2010,BHARTIART,264,266.75,263.85,265.4,4953501
29-06-2010,BHARTIART,266,267,263.6,265.8,3218957
30-06-2010,BHARTIART,264.05,265.5,260.55,262.8,6315366
1/7/2010,BHARTIART,263,266.25,261.1,265.05,7460679
2/7/2010,BHARTIART,265.5,265.85,263.1,264.7,2216705
5/7/2010,BHARTIART,265.4,267.95,263.15,267.45,3415864
6/7/2010,BHARTIART,268,272.3,267,271.55,10382304
7/7/2010,BHARTIART,271,279.4,271,276.15,9713858
8/7/2010,BHARTIART,279.25,282.5,277.35,280.95,5594133
9/7/2010,BHARTIART,282,310.5,282,308.65,47063539
12/7/2010,BHARTIART,308.4,312.7,304.35,305.7,14596179
13-07-2010,BHARTIART,304.9,306.65,297.7,299.85,9637893
14-07-2010,BHARTIART,303,307.8,298.7,301.6,10481942
15-07-2010,BHARTIART,303,304.5,296.3,298,3713520
16-07-2010,BHARTIART,293,300,293,298.45,3055151
19-07-2010,BHARTIART,296,302.6,294.7,297.5,4618706
20-07-2010,BHARTIART,299.85,300.75,295.5,297.65,2343388
21-07-2010,BHARTIART,298.65,299,294.1,295,2157051
22-07-2010,BHARTIART,294.3,303,292,302.1,3520261
23-07-2010,BHARTIART,304.45,316.5,302,313.8,10301222
26-07-2010,BHARTIART,314,321.85,309.65,320.4,9377762
27-07-2010,BHARTIART,322.2,324.4,317.15,322.65,6659817
28-07-2010,BHARTIART,323.5,323.5,319.1,322,2530027
29-07-2010,BHARTIART,321,321.9,315.5,316.9,3013133
30-07-2010,BHARTIART,315,319.9,305.1,306.8,7663532
2/8/2010,BHARTIART,308,320,308,318.05,8175948
3/8/2010,BHARTIART,319.8,329.8,317.35,328.45,8863324
4/8/2010,BHARTIART,329,330,321.55,323.15,3878491
5/8/2010,BHARTIART,323.5,329,323.35,324.6,4442307
6/8/2010,BHARTIART,324,326.85,320.25,323.4,2266237
9/8/2010,BHARTIART,321.95,329.8,318.2,328.4,5951738
10/8/2010,BHARTIART,329,329.6,323.5,325.5,4138359
11/8/2010,BHARTIART,321.2,335.75,315.8,320.65,11274588
12/8/2010,BHARTIART,317.25,323,315.25,316.9,5242685
13-08-2010,BHARTIART,318,322.9,315,316.95,3371693
16-08-2010,BHARTIART,318,321.15,312.7,318.75,2795553
17-08-2010,BHARTIART,317.5,321,314.3,316.1,3915037
18-08-2010,BHARTIART,317.2,319.3,312.25,315.2,3695182
19-08-2010,BHARTIART,316.05,317.85,313.3,314.7,3136786
20-08-2010,BHARTIART,312,313.8,308.1,310.3,2529490
23-08-2010,BHARTIART,312,320.2,310.6,317.35,3886235
24-08-2010,BHARTIART,317.8,325.4,316.85,323.2,6280189
25-08-2010,BHARTIART,321.8,324.55,314,316.95,4223607
26-08-2010,BHARTIART,318,323.9,314.65,321.55,4732589
27-08-2010,BHARTIART,321,324.5,315,316.1,4099287
30-08-2010,BHARTIART,319.9,326.35,319.15,322.8,4131857
31-08-2010,BHARTIART,323,328.3,315.25,327.35,5685749
1/9/2010,BHARTIART,329,339.8,328.8,337.65,7925467
2/9/2010,BHARTIART,339.9,341.1,333.1,334.1,3429080
3/9/2010,BHARTIART,335.2,341.4,335,339.25,3512214
6/9/2010,BHARTIART,340,344.75,338,343.4,4084373
7/9/2010,BHARTIART,345.9,347.3,341.1,343.55,3873422
8/9/2010,BHARTIART,341,353.7,338,352,5770849
9/9/2010,BHARTIART,354,357.95,347.7,350.1,5476016
13-09-2010,BHARTIART,354.4,354.95,347.15,348.8,5135878
14-09-2010,BHARTIART,351.15,359.5,345.1,356.45,6234534
15-09-2010,BHARTIART,354,361,350.1,356.2,4684772
16-09-2010,BHARTIART,355.1,360,345.6,347.55,6436730
17-09-2010,BHARTIART,349.1,360,349.1,358.85,8250118
20-09-2010,BHARTIART,359,373,359,365.95,9573742
21-09-2010,BHARTIART,366.1,370.85,363.05,365.55,5899868
22-09-2010,BHARTIART,369.85,375,358.7,362.75,4756235
23-09-2010,BHARTIART,364.1,364.9,354.1,355.5,2481395
24-09-2010,BHARTIART,355.1,369.35,353.05,368.15,8185982
27-09-2010,BHARTIART,370.1,376.4,365.25,373.15,6494046
28-09-2010,BHARTIART,371.05,376.95,370,373.25,3668221
29-09-2010,BHARTIART,375,376.7,362,363.4,3152553
30-09-2010,BHARTIART,358.3,370,357.6,366.3,7475447
1/10/2010,BHARTIART,370.1,370.1,364.05,365.1,3637137
4/10/2010,BHARTIART,366.95,368.7,356.15,359.85,3978745
5/10/2010,BHARTIART,359.85,367,350.75,353.65,5124609
6/10/2010,BHARTIART,356,359.35,350.5,352.1,3530945
7/10/2010,BHARTIART,354.7,360.5,353.4,354.85,3271211
8/10/2010,BHARTIART,356.95,359.9,349.65,352.9,2336657
11/10/2010,BHARTIART,354.1,355.9,340.9,342.85,6108456
12/10/2010,BHARTIART,342,345.5,337.6,339.05,4677643
13-10-2010,BHARTIART,339.5,348.6,336.5,347.6,8204177
14-10-2010,BHARTIART,349.25,352,342.45,345.05,3672169
15-10-2010,BHARTIART,346.8,347.55,330.3,333.65,5593819
18-10-2010,BHARTIART,335,335,323.5,327.25,7072251
19-10-2010,BHARTIART,329.15,335.5,323,327.2,5413715
20-10-2010,BHARTIART,325,329.7,318.8,321.25,5506669
21-10-2010,BHARTIART,324.7,338.6,323.45,337.1,4793028
22-10-2010,BHARTIART,338.9,341.8,331.45,333.45,3308158
25-10-2010,BHARTIART,335.25,341.5,334.05,337.2,4539626
26-10-2010,BHARTIART,339,339.9,328.15,328.8,2338928
27-10-2010,BHARTIART,328,329,318,321.95,4372920
28-10-2010,BHARTIART,324.9,336.5,324.25,330.65,11162156
29-10-2010,BHARTIART,328.75,331.7,320.35,325.65,2779268
1/11/2010,BHARTIART,329,335.95,328.3,335.3,3165567
2/11/2010,BHARTIART,335.3,335.9,327.75,329.25,3013657
3/11/2010,BHARTIART,331,333.7,327.05,328.4,1962784
4/11/2010,BHARTIART,330.2,331.8,325.25,326.15,2867830
5/11/2010,BHARTIART,330,331,328.55,329.5,560414
8/11/2010,BHARTIART,331,334.7,327.5,328.05,5455422
9/11/2010,BHARTIART,330.5,335.5,329.3,334.55,6262180
10/11/2010,BHARTIART,335,345.6,325.55,327.05,10217605
11/11/2010,BHARTIART,325.45,326.75,316,316.75,7070523
12/11/2010,BHARTIART,315,316,303.4,305.55,14163306
15-11-2010,BHARTIART,307.15,311.65,305.25,309.65,9901738
16-11-2010,BHARTIART,312.95,319.8,311,313.45,8877527
18-11-2010,BHARTIART,320,327.85,314.25,324.95,9386872
19-11-2010,BHARTIART,326,341.75,325.95,328.45,15857070
22-11-2010,BHARTIART,334.15,339.9,334,336.95,5660265
23-11-2010,BHARTIART,332,332.85,320.2,329.15,7660169
24-11-2010,BHARTIART,331.8,337.4,330,331.8,6074797
25-11-2010,BHARTIART,333.2,339.75,332.65,335,7547552
26-11-2010,BHARTIART,339,339,328.05,333.8,6389553
29-11-2010,BHARTIART,335,341,333,338.7,3219035
30-11-2010,BHARTIART,337,362.9,336.5,360.15,12939392
1/12/2010,BHARTIART,357.5,357.9,344.2,350.55,6573037
2/12/2010,BHARTIART,354,355,344.25,346.1,4228857
3/12/2010,BHARTIART,348.5,355,343.6,345.6,3943404
6/12/2010,BHARTIART,349.85,351.4,343.55,345.35,1810411
7/12/2010,BHARTIART,346.95,354.75,345.25,348.85,3856632
8/12/2010,BHARTIART,348,353.25,345.15,347.65,4253185
9/12/2010,BHARTIART,349,349.6,336,338.45,3263098
10/12/2010,BHARTIART,336.25,338,325,331,8320790
13-12-2010,BHARTIART,332.45,333.8,322,332.05,4916080
14-12-2010,BHARTIART,331,337,327.35,335.15,3451430
15-12-2010,BHARTIART,335.5,342,333.85,339.7,4233070
16-12-2010,BHARTIART,342.5,346.5,340.05,344.3,4519611
20-12-2010,BHARTIART,342,342,333.6,335,2447960
21-12-2010,BHARTIART,335,337.5,330,332.85,2324959
22-12-2010,BHARTIART,334,344,333.35,343.25,3430892
23-12-2010,BHARTIART,344.65,347.95,340.05,343.3,4043129
24-12-2010,BHARTIART,339,351.8,339,348.6,1938060
27-12-2010,BHARTIART,349,352.05,341.1,341.9,1267944
28-12-2010,BHARTIART,342.95,346.3,341.35,342.35,1881726
29-12-2010,BHARTIART,344,354.85,344,354,3746529
30-12-2010,BHARTIART,355,360,351.05,357.45,5710542
31-12-2010,BHARTIART,354.45,359.8,352.05,358.8,2811934
3/1/2011,BHARTIART,360.9,365,354.75,359.35,2959476
4/1/2011,BHARTIART,360.25,361.85,353.15,356.4,3455137
5/1/2011,BHARTIART,355,356.05,347.55,349,2662388
6/1/2011,BHARTIART,349.15,355.3,349.15,353.2,2906492
7/1/2011,BHARTIART,353.8,354.8,334.4,338.5,6116148
10/1/2011,BHARTIART,340,343.95,335.05,339.1,2765924
11/1/2011,BHARTIART,341,346.9,334,338.45,3343270
12/1/2011,BHARTIART,340.15,351.25,336,349.1,1921498
13-01-2011,BHARTIART,346.2,354,345.1,346.65,3211230
14-01-2011,BHARTIART,345.1,351.45,341.25,343.75,2230501
17-01-2011,BHARTIART,340.5,352,339.65,348.5,3349337
18-01-2011,BHARTIART,350.1,351.35,343.1,344.4,1990524
19-01-2011,BHARTIART,345,348.4,341.7,344.45,2673322
20-01-2011,BHARTIART,339,343,338,340.3,3473312
21-01-2011,BHARTIART,339.95,339.95,331,336.05,2902544
24-01-2011,BHARTIART,336.2,337.9,332.5,333.1,2639491
25-01-2011,BHARTIART,336.65,340.85,333.1,337.75,3484518
27-01-2011,BHARTIART,340,340,324.25,325.65,5803968
28-01-2011,BHARTIART,327.9,332.25,322.5,327.25,3691854
31-01-2011,BHARTIART,322.15,323.65,311,319,4287253
1/2/2011,BHARTIART,325,327.85,310,317.1,5808961
2/2/2011,BHARTIART,310,325.8,304.45,322.8,10571769
3/2/2011,BHARTIART,320.45,342.45,320.45,339.8,6702797
4/2/2011,BHARTIART,343,343.5,330.5,332.5,6523393
7/2/2011,BHARTIART,335,344.25,332,333.85,4299876
8/2/2011,BHARTIART,335,340.35,332.1,333.3,3292626
9/2/2011,BHARTIART,326.4,336.7,324.65,332.15,3927982
10/2/2011,BHARTIART,330,331.4,313.2,322.6,6221987
11/2/2011,BHARTIART,322.7,322.7,314,318.9,2854900
14-02-2011,BHARTIART,323.5,328.45,315,327.35,3881326
15-02-2011,BHARTIART,325.5,333.2,323.4,329.15,2820649
16-02-2011,BHARTIART,329,332.5,325.25,328.4,2531063
17-02-2011,BHARTIART,332,341.25,325.6,339.85,4956395
18-02-2011,BHARTIART,339,341.3,328.1,331.35,4546532
21-02-2011,BHARTIART,329.7,332.7,326.85,330.7,3836039
22-02-2011,BHARTIART,327.25,334.5,323.35,330.5,4489564
23-02-2011,BHARTIART,329,337.25,325.85,328.2,4290369
24-02-2011,BHARTIART,326,336.4,321.5,324.4,7827783
25-02-2011,BHARTIART,330,332.8,324.55,329.75,4174728
28-02-2011,BHARTIART,330,334,324.65,331.3,5786386
1/3/2011,BHARTIART,331.1,338.9,322.2,337.6,4908581
3/3/2011,BHARTIART,335.5,338.4,327.1,330.15,3169994
4/3/2011,BHARTIART,330.55,333.6,324.15,326.95,3267936
7/3/2011,BHARTIART,325,326.2,319.1,324.45,2311885
8/3/2011,BHARTIART,323.6,335.25,323,334.85,3129835
9/3/2011,BHARTIART,334.35,336.8,330.5,332.5,1610110
10/3/2011,BHARTIART,331.05,331.4,327.15,329.5,883897
11/3/2011,BHARTIART,328.9,331.5,321.05,322.55,3221325
14-03-2011,BHARTIART,320.1,324,319.3,321.75,2725026
15-03-2011,BHARTIART,318,320.95,308.95,314.15,4343400
16-03-2011,BHARTIART,315.05,322.3,315.05,320.45,3773145
17-03-2011,BHARTIART,318.8,323.9,316.3,317.85,4752369
18-03-2011,BHARTIART,321.9,323.8,317.5,318.65,4203615
21-03-2011,BHARTIART,319.65,321.15,316,316.9,1808009
22-03-2011,BHARTIART,318.2,327.3,318.2,326.6,3379838
23-03-2011,BHARTIART,326.2,331.55,325.25,330.6,2087808
24-03-2011,BHARTIART,331.8,334.4,326.6,333.25,1844676
25-03-2011,BHARTIART,334.1,341,332.1,339.7,2435027
28-03-2011,BHARTIART,341.4,350,334.5,347.8,7237171
29-03-2011,BHARTIART,347,364.95,347,360.6,8519420
30-03-2011,BHARTIART,360,361.65,354.45,359.4,5074736
31-03-2011,BHARTIART,357.5,359.5,351.4,357.4,8404323
1/4/2011,BHARTIART,354.6,360.3,353,355.3,4454718
4/4/2011,BHARTIART,354.5,362,353,359.35,2134397
5/4/2011,BHARTIART,361.5,363.3,357.5,360.25,1897947
6/4/2011,BHARTIART,360.3,363.15,350.25,353.3,4366688
7/4/2011,BHARTIART,353.3,358.25,345.7,357,6840334
8/4/2011,BHARTIART,359.3,428.4,357.1,361.9,6137337
11/4/2011,BHARTIART,361.9,366.3,359,362.45,3645361
13-04-2011,BHARTIART,356.3,375,353,367.45,7893738
