Date,Symbol,Open,High,Low,Close,Volume
04-01-2010,MARUTI,1565,1586.7,1546.15,1551.45,534231
05-01-2010,MARUTI,1563.5,1567.55,1510,1515.85,1407407
06-01-2010,MARUTI,1518,1522.8,1460,1461.65,1571353
07-01-2010,MARUTI,1468,1485,1450,1453.3,901165
08-01-2010,MARUTI,1459,1463.8,1421.1,1433.15,1294429
11-01-2010,MARUTI,1442,1462.25,1438,1454.75,478942
12-01-2010,MARUTI,1454.75,1462,1435,1441,767986
13-01-2010,MARUTI,1437,1449.5,1410.8,1428.75,612474
14-01-2010,MARUTI,1439,1443.25,1411,1414.85,480493
15-01-2010,MARUTI,1410,1442.9,1408.15,1413.45,723389
18-01-2010,MARUTI,1409,1447,1407,1429.35,916180
19-01-2010,MARUTI,1435,1450,1413.1,1419.3,1009858
20-01-2010,MARUTI,1428.8,1465,1421,1458.35,1376326
21-01-2010,MARUTI,1445,1480,1440,1452.75,1220211
22-01-2010,MARUTI,1440,1457,1405,1444.45,650256
25-01-2010,MARUTI,1412,1475,1412,1446.2,851324
27-01-2010,MARUTI,1431,1447,1350.3,1369.8,1180230
28-01-2010,MARUTI,1377,1399,1362.05,1378.3,835498
29-01-2010,MARUTI,1374.4,1399,1332,1389.45,468949
01-02-2010,MARUTI,1389,1419.7,1375.25,1398.95,584347
02-02-2010,MARUTI,1418.25,1418.25,1360,1373.55,573306
03-02-2010,MARUTI,1365,1384.9,1360.2,1377.25,594119
04-02-2010,MARUTI,1370,1385,1355,1365.15,453970
05-02-2010,MARUTI,1349.5,1378.05,1320.25,1358.9,471270
06-02-2010,MARUTI,1363.3,1389.9,1358.1,1373.5,82937
08-02-2010,MARUTI,1375.1,1388.8,1347.2,1362.05,555655
09-02-2010,MARUTI,1355,1374,1342.5,1352.75,491001
10-02-2010,MARUTI,1355,1368.6,1328.25,1333.9,433681
11-02-2010,MARUTI,1330.1,1363.5,1330.1,1356.35,289022
15-02-2010,MARUTI,1364,1368.8,1330.1,1336,288768
16-02-2010,MARUTI,1339.7,1370.45,1334,1357.35,322869
17-02-2010,MARUTI,1369.95,1386.9,1365.3,1380.25,371999
18-02-2010,MARUTI,1390,1390,1349,1359.65,323684
19-02-2010,MARUTI,1354,1381,1335,1371,399798
22-02-2010,MARUTI,1380,1403,1378.3,1386.25,385247
23-02-2010,MARUTI,1369.85,1389,1317.7,1335.75,484780
24-02-2010,MARUTI,1325,1388.85,1317.65,1365.4,827260
25-02-2010,MARUTI,1374.2,1407.9,1358,1399.9,794244
26-02-2010,MARUTI,1398.8,1490,1375,1459.95,1711733
02-03-2010,MARUTI,1472,1501,1462.55,1491.1,1321957
03-03-2010,MARUTI,1496,1500.9,1460.65,1476.5,809671
04-03-2010,MARUTI,1477,1489,1452.1,1457.15,413804
05-03-2010,MARUTI,1467,1474.4,1447.7,1457.05,353414
08-03-2010,MARUTI,1473.7,1492.3,1463,1478.15,515595
09-03-2010,MARUTI,1480,1509.15,1471,1499.5,875543
10-03-2010,MARUTI,1508,1519.8,1470,1479.85,976355
11-03-2010,MARUTI,1470.05,1484.95,1455,1464.2,554034
12-03-2010,MARUTI,1470,1487.5,1460,1463.6,334671
15-03-2010,MARUTI,1464,1464.8,1426.15,1446.1,445078
16-03-2010,MARUTI,1459.8,1462.8,1436.45,1458.8,256298
17-03-2010,MARUTI,1465,1473.75,1428.65,1433.5,648678
18-03-2010,MARUTI,1444,1446,1409,1421.7,631915
19-03-2010,MARUTI,1428,1434.3,1421,1429.3,286967
22-03-2010,MARUTI,1420,1423.8,1391,1397.45,470482
23-03-2010,MARUTI,1404.95,1412.2,1388,1393.4,313873
25-03-2010,MARUTI,1390,1397.85,1360,1370.15,656336
26-03-2010,MARUTI,1372,1413,1368.05,1396.85,576501
29-03-2010,MARUTI,1409.8,1437.8,1397.2,1427.45,628028
30-03-2010,MARUTI,1400,1446,1400,1407.65,354798
31-03-2010,MARUTI,1391.55,1423.5,1349,1417.95,320921
01-04-2010,MARUTI,1425,1429,1386.25,1393.15,477130
05-04-2010,MARUTI,1399.5,1409,1386.3,1397.35,409185
06-04-2010,MARUTI,1410,1410,1373.25,1376.65,343707
07-04-2010,MARUTI,1389.7,1407,1368,1402.9,634823
08-04-2010,MARUTI,1247.7,1412,1247.7,1384.1,410233
09-04-2010,MARUTI,1396,1399,1370.25,1377.65,441989
12-04-2010,MARUTI,1398,1408.8,1363.5,1371.55,401803
13-04-2010,MARUTI,1375,1376.8,1352.8,1363.3,309664
15-04-2010,MARUTI,1371,1378.9,1350,1354.85,296630
16-04-2010,MARUTI,1350.75,1361.7,1345,1351.15,220122
19-04-2010,MARUTI,1352.6,1352.6,1324.2,1332.3,239032
20-04-2010,MARUTI,1340,1366.05,1332,1352.35,379984
21-04-2010,MARUTI,1350,1380,1350,1377.45,314739
22-04-2010,MARUTI,1375,1399.8,1364.5,1379.35,483673
23-04-2010,MARUTI,1380,1388.7,1355.05,1361.35,268925
26-04-2010,MARUTI,1370,1385.4,1327.05,1333.7,1940724
27-04-2010,MARUTI,1329,1335.15,1280,1283.3,2351290
28-04-2010,MARUTI,1275,1287.8,1255,1270.35,1214131
29-04-2010,MARUTI,1273.1,1294.7,1272,1289.4,815734
30-04-2010,MARUTI,1300,1300,1275.1,1279.7,441044
03-05-2010,MARUTI,1275,1294.25,1263.35,1281.45,599874
04-05-2010,MARUTI,1288,1297.45,1257.5,1265.35,457051
05-05-2010,MARUTI,1247.7,1290,1233.8,1282.55,550720
06-05-2010,MARUTI,1284,1289,1265.25,1278.5,394583
07-05-2010,MARUTI,1261,1288,1250,1279,488321
10-05-2010,MARUTI,1291.2,1299.9,1276.7,1295.45,563998
11-05-2010,MARUTI,1300,1300,1265,1268.1,395084
12-05-2010,MARUTI,1270,1286.8,1262,1265.25,589711
13-05-2010,MARUTI,1275,1285.6,1270.35,1275.8,662614
14-05-2010,MARUTI,1269,1281,1246.9,1259.5,443386
